order_id,customer_id,order_date,category,quantity,unit_price,discount_rate,paid_amount,order_status
O000068,C00234,2025-07-18,食品饮料,1,179.42,0.15,152.51,已退款
O000069,C00331,2025-09-27,食品饮料,1,165.95,0.2,132.76,已支付
O000070,C00014,2025-08-01,服饰鞋包,2,333.13,0.15,566.32,已支付
O000071,C00168,2025-12-21,食品饮料,2,195.79,0.08,360.25,已取消
O000072,C00117,2025-11-20,服饰鞋包,1,304.68,0.08,280.31,已支付
O000073,C00222,2026-03-24,运动户外,1,256.98,0.1,231.28,已取消
O000074,C00237,2026-02-22,数码电子,2,660.2,0,1320.4,已退款
O000075,C00478,2025-11-08,食品饮料,2,107.79,0.05,204.8,已支付
O000076,C00335,2026-05-22,数码电子,4,958.18,0,3832.72,已退款
O000077,C00281,2026-03-31,数码电子,1,219.03,0,219.03,已支付
O000078,C00203,2025-08-18,运动户外,1,453.36,0.1,408.02,已取消
O000079,C00415,2025-07-29,美妆个护,1,92.81,0,92.81,已取消
O000080,C00024,2026-05-13,服饰鞋包,2,390.35,0.2,624.56,已支付
O000081,C00345,2026-04-12,家居日用,2,318.74,0,637.48,已支付
O000082,C00148,2026-01-08,美妆个护,1,164.17,0.2,131.34,已支付
O000083,C00289,2025-10-09,服饰鞋包,1,163.7,0.2,130.96,已支付
O000084,C00319,2026-03-31,美妆个护,3,216.7,0,650.1,已支付
O000085,C00590,2026-04-13,美妆个护,2,128.15,0.08,235.8,已支付
O000086,C00223,2025-10-21,家居日用,2,378.9,0.2,606.24,已支付
O000087,C00009,2025-12-29,数码电子,2,960.68,0.2,1537.09,已支付
O000088,C00596,2026-04-12,服饰鞋包,1,601.21,0,601.21,已支付
O000089,C00462,2026-06-05,家居日用,2,264.14,0.2,422.62,已支付
O000090,C00280,2026-04-18,食品饮料,1,177.11,0.2,141.69,已退款
O000091,C00207,2026-03-11,数码电子,2,215.36,0.08,396.26,已支付
O000092,C00323,2025-12-14,食品饮料,4,119.83,0,479.32,已取消
O000093,C00283,2025-07-09,食品饮料,1,28.59,0.05,27.16,已支付
O000094,C00574,2025-07-21,食品饮料,4,171.27,0.08,630.27,已退款
O000095,C00048,2025-09-29,食品饮料,1,177.8,0.05,168.91,已退款
O000096,C00473,2026-05-04,数码电子,1,114.33,0.1,102.9,已取消
O000097,C00578,2026-03-16,食品饮料,3,184.7,0.2,443.28,已退款
O000098,C00062,2025-07-30,美妆个护,2,125.46,0.2,200.74,已支付
O000099,C00510,2026-05-26,食品饮料,1,190.65,0.2,152.52,已支付
O000100,C00466,2026-03-11,运动户外,2,83.07,0.08,152.85,已退款
O000101,C00352,2026-06-05,家居日用,1,185.79,0,185.79,已取消
O000102,C00017,2026-05-16,食品饮料,1,143.89,0.15,122.31,已支付
O000103,C00173,2025-10-03,运动户外,1,508.09,0.1,457.28,已支付
O000104,C00030,2025-11-20,运动户外,2,312.67,0.2,500.27,已退款
O000105,C00232,2026-05-12,家居日用,1,490.05,0,490.05,已支付
O000106,C00011,2026-03-20,数码电子,1,337.05,0.05,320.2,已支付
O000107,C00391,2025-08-03,运动户外,1,145.16,0.15,123.39,已取消
O000108,C00256,2026-01-11,家居日用,1,495.93,0,495.93,已支付
O000109,C00404,2026-01-10,数码电子,1,511.28,0,511.28,已支付
O000110,C00165,2026-02-17,家居日用,1,175.82,0,175.82,已取消
O000111,C00169,2026-01-07,运动户外,2,518.59,0.2,829.74,已取消
O000112,C00036,2026-03-29,食品饮料,1,87.27,0.2,69.82,已取消
O000113,C00052,2025-09-05,食品饮料,1,189.05,0,189.05,已支付
O000114,C00202,2025-07-25,运动户外,1,418.15,0.1,376.33,已支付
O000115,C00146,2026-05-13,美妆个护,1,63.39,0.1,57.05,已支付
O000116,C00592,2025-09-27,数码电子,1,535.63,0.05,508.85,已退款
O000117,C00426,2025-11-29,食品饮料,1,126.15,0.2,100.92,已取消
O000118,C00550,2026-06-01,数码电子,3,1041.22,0.08,2873.77,已支付
O000119,C00034,2026-04-01,家居日用,2,456.44,0.08,839.85,已取消
O000120,C00078,2025-11-05,运动户外,2,85.01,0,170.02,已取消
O000121,C00267,2026-04-26,服饰鞋包,1,368.95,0.1,332.06,已取消
O000122,C00179,2026-03-24,数码电子,3,380.0,0.08,1048.8,已取消
O000123,C00395,2026-05-25,美妆个护,1,75.13,0.15,63.86,已支付
O000124,C00559,2025-10-20,美妆个护,3,210.73,0.1,568.97,已取消
O000125,C00087,2026-05-28,食品饮料,2,174.26,0.05,331.09,已支付
O000126,C00144,2025-12-22,食品饮料,1,53.07,0.15,45.11,已支付
O000127,C00376,2026-02-12,服饰鞋包,2,264.57,0.2,423.31,已取消
O000128,C00513,2025-09-25,服饰鞋包,1,638.13,0.1,574.32,已取消
O000129,C00037,2026-02-24,运动户外,3,311.55,0.08,859.88,已支付
O000130,C00245,2026-01-29,家居日用,1,344.5,0.05,327.27,已支付
O000131,C00295,2026-01-08,家居日用,2,209.23,0.1,376.61,已退款
O000132,C00372,2026-02-17,家居日用,2,86.63,0.15,147.27,已支付
O000133,C00082,2025-09-17,数码电子,2,696.13,0.05,1322.65,已支付
O000134,C00146,2026-06-19,服饰鞋包,1,555.88,0.05,528.09,已取消
O000135,C00409,2025-12-16,美妆个护,1,230.79,0.05,219.25,已支付
O000136,C00353,2026-04-19,食品饮料,1,156.01,0.05,148.21,已退款
O000137,C00002,2025-12-01,家居日用,1,127.11,0,127.11,已支付
O000138,C00099,2025-11-08,家居日用,1,124.1,0,124.1,已支付
O000139,C00106,2026-05-01,数码电子,1,852.61,0.15,724.72,已支付
O000140,C00460,2025-12-27,美妆个护,2,51.17,0.2,81.87,已支付
O000141,C00187,2026-05-10,食品饮料,1,150.25,0.08,138.23,已支付
O000142,C00059,2026-04-14,数码电子,1,602.58,0.2,482.06,已支付
O000143,C00049,2026-05-24,家居日用,1,29.77,0.2,23.82,已支付
O000144,C00019,2026-06-25,运动户外,1,419.05,0,419.05,已支付
O000145,C00325,2025-11-14,家居日用,4,498.09,0.1,1793.12,已支付
O000146,C00136,2026-05-16,运动户外,2,544.4,0.08,1001.7,已支付
O000147,C00210,2026-01-17,数码电子,1,196.4,0.05,186.58,已退款
O000148,C00137,2026-03-13,服饰鞋包,1,630.33,0,630.33,已支付
O000149,C00131,2026-03-08,运动户外,1,348.9,0.1,314.01,已支付
O000150,C00417,2025-10-11,食品饮料,2,128.01,0.08,235.54,已支付
O000151,C00414,2025-11-23,美妆个护,1,79.68,0,79.68,已支付
O000152,C00352,2026-04-26,服饰鞋包,1,125.51,0.1,112.96,已支付
O000153,C00565,2025-08-10,美妆个护,2,125.58,0,251.16,已支付
O000154,C00540,2025-07-28,家居日用,2,165.42,0.2,264.67,已支付
O000155,C00516,2025-07-03,数码电子,1,625.0,0.15,531.25,已取消
O000156,C00427,2026-01-22,数码电子,2,958.14,0.2,1533.02,已支付
O000157,C00476,2025-07-22,运动户外,1,135.83,0.2,108.66,已支付
O000158,C00170,2026-06-21,运动户外,1,398.35,0,398.35,已支付
O000159,C00185,2026-02-20,食品饮料,1,57.26,0.05,54.4,已支付
O000160,C00333,2025-11-01,服饰鞋包,1,565.0,0.1,508.5,已支付
O000161,C00477,2025-08-27,数码电子,2,172.49,0.15,293.23,已取消
O000162,C00406,2026-03-14,数码电子,1,284.86,0,284.86,已支付
O000163,C00353,2025-08-01,运动户外,1,362.98,0.05,344.83,已支付
O000164,C00050,2025-07-08,食品饮料,2,142.42,0,284.84,已支付
O000165,C00271,2025-08-02,美妆个护,2,144.2,0.1,259.56,已支付
O000166,C00239,2026-05-25,美妆个护,4,273.44,0.05,1039.07,已支付
O000167,C00007,2026-04-15,家居日用,1,297.93,0.15,253.24,已支付
O000168,C00412,2025-07-19,数码电子,5,1232.37,0.15,5237.57,已退款
O000169,C00168,2025-10-25,美妆个护,1,48.7,0.08,44.8,已支付
O000170,C00480,2025-09-17,数码电子,1,888.56,0,888.56,已支付
O000171,C00032,2025-07-09,食品饮料,1,112.69,0,112.69,已取消
O000172,C00328,2026-03-20,食品饮料,1,86.73,0.1,78.06,已支付
O000173,C00263,2025-08-27,运动户外,1,250.59,0,250.59,已退款
O000174,C00447,2026-04-05,服饰鞋包,2,231.18,0.08,425.37,已支付
O000175,C00543,2026-03-27,美妆个护,3,286.49,0.05,816.5,已支付
O000176,C00149,2025-08-16,美妆个护,2,154.29,0.05,293.15,已支付
O000177,C00308,2026-05-27,美妆个护,5,162.13,0,810.65,已支付
O000178,C00540,2025-07-24,食品饮料,1,99.76,0.1,89.78,已支付
O000179,C00446,2026-06-11,运动户外,2,445.21,0,890.42,已退款
O000180,C00013,2026-03-20,家居日用,1,148.37,0.08,136.5,已退款
O000181,C00192,2025-07-02,数码电子,1,436.77,0.2,349.42,已支付
O000182,C00573,2026-04-15,家居日用,1,282.61,0.2,226.09,已支付
O000183,C00328,2025-10-03,运动户外,1,112.79,0.15,95.87,已支付
O000184,C00365,2026-02-09,服饰鞋包,4,531.4,0.05,2019.32,已取消
O000185,C00160,2025-07-20,家居日用,2,472.7,0.1,850.86,已取消
O000186,C00137,2025-07-09,家居日用,3,264.21,0.05,753.0,已取消
O000187,C00450,2025-09-25,服饰鞋包,1,502.29,0,502.29,已支付
O000188,C00523,2026-06-02,运动户外,3,57.53,0.08,158.78,已支付
O000189,C00319,2025-08-12,食品饮料,1,129.05,0.08,118.73,已支付
O000190,C00463,2026-04-01,家居日用,2,36.97,0.1,66.55,已支付
O000191,C00560,2026-06-09,运动户外,1,335.01,0.15,284.76,已支付
O000192,C00560,2025-12-23,服饰鞋包,1,286.43,0.05,272.11,已支付
O000193,C00441,2026-02-22,数码电子,3,167.03,0,501.09,已支付
O000194,C00310,2025-12-31,美妆个护,2,251.42,0,502.84,已支付
O000195,C00230,2026-05-18,家居日用,1,343.58,0.2,274.86,已支付
O000196,C00052,2025-08-06,美妆个护,4,216.18,0.1,778.25,已支付
O000197,C00170,2025-09-06,家居日用,2,68.92,0,137.84,已退款
O000198,C00340,2025-08-07,运动户外,3,70.78,0.08,195.35,已支付
O000199,C00173,2026-06-07,运动户外,1,292.73,0.2,234.18,已取消
O000200,C00199,2026-01-13,运动户外,2,322.78,0.15,548.73,已支付
O000201,C00426,2025-08-27,食品饮料,1,117.58,0.05,111.7,已支付
O000202,C00080,2026-03-06,食品饮料,1,142.88,0.15,121.45,已取消
O000203,C00578,2026-02-24,数码电子,4,696.66,0.15,2368.64,已支付
O000204,C00223,2025-10-21,家居日用,2,470.95,0,941.9,已退款
O000205,C00197,2026-02-20,美妆个护,1,48.28,0.15,41.04,已支付
O000206,C00113,2025-12-14,服饰鞋包,1,266.03,0.08,244.75,已支付
O000207,C00353,2025-07-18,美妆个护,4,191.78,0.08,705.75,已取消
O000208,C00106,2025-07-15,家居日用,1,41.87,0.05,39.78,已支付
O000209,C00275,2025-11-19,运动户外,1,534.48,0.05,507.76,已支付
O000210,C00149,2026-03-24,运动户外,1,130.75,0.08,120.29,已退款
O000211,C00431,2026-01-15,家居日用,1,79.41,0.05,75.44,已支付
O000212,C00064,2025-09-22,数码电子,2,464.52,0.08,854.72,已支付
O000213,C00290,2026-06-20,家居日用,1,218.15,0.2,174.52,已支付
O000214,C00554,2025-07-05,美妆个护,1,122.54,0,122.54,已取消
O000215,C00003,2026-05-10,运动户外,1,351.54,0.2,281.23,已退款
O000216,C00122,2025-09-08,运动户外,1,106.25,0.08,97.75,已支付
O000217,C00309,2025-12-14,家居日用,1,233.15,0.2,186.52,已取消
O000218,C00358,2025-12-24,服饰鞋包,4,598.59,0.15,2035.21,已支付
O000219,C00216,2025-11-27,家居日用,2,98.93,0.2,158.29,已取消
O000220,C00227,2025-11-28,美妆个护,4,117.03,0,468.12,已支付
O000221,C00343,2026-02-10,家居日用,1,274.7,0.08,252.72,已支付
O000222,C00049,2026-02-22,运动户外,3,419.56,0.05,1195.75,已支付
O000223,C00111,2026-03-20,食品饮料,3,140.84,0,422.52,已支付
O000224,C00037,2025-10-27,运动户外,3,359.5,0.15,916.73,已支付
O000225,C00026,2025-10-01,美妆个护,2,62.09,0,124.18,已支付
O000226,C00387,2025-11-01,美妆个护,2,186.59,0,373.18,已退款
O000227,C00445,2025-10-13,食品饮料,2,91.13,0.2,145.81,已支付
O000228,C00137,2025-09-14,运动户外,1,464.32,0,464.32,已取消
O000229,C00242,2026-05-31,美妆个护,1,140.01,0,140.01,已支付
O000230,C00475,2026-04-27,数码电子,4,332.47,0.2,1063.9,已支付
O000231,C00122,2026-04-14,运动户外,1,350.82,0.08,322.75,已退款
O000232,C00154,2025-12-13,运动户外,1,564.83,0.05,536.59,已支付
O000233,C00147,2026-06-26,食品饮料,2,107.19,0.2,171.5,已支付
O000234,C00020,2026-05-13,食品饮料,1,46.63,0.08,42.9,已取消
O000235,C00502,2026-03-22,运动户外,1,321.51,0,321.51,已支付
O000236,C00290,2026-06-10,服饰鞋包,2,471.63,0.2,754.61,已支付
O000237,C00059,2025-11-06,数码电子,1,537.03,0.08,494.07,已支付
O000238,C00446,2025-09-27,服饰鞋包,2,265.7,0.1,478.26,已取消
O000239,C00129,2026-05-06,食品饮料,2,25.89,0.05,49.19,已支付
O000240,C00496,2025-10-31,家居日用,1,497.45,0,497.45,已支付
O000241,C00541,2026-04-29,家居日用,2,178.23,0,356.46,已退款
O000242,C00216,2026-01-01,食品饮料,3,145.15,0.1,391.91,已退款
O000243,C00304,2026-06-15,数码电子,2,179.51,0,359.02,已支付
O000244,C00249,2026-04-12,服饰鞋包,1,523.39,0.15,444.88,已退款
O000245,C00488,2025-08-19,家居日用,3,231.05,0,693.15,已支付
O000246,C00131,2026-04-05,美妆个护,1,224.5,0.08,206.54,已支付
O000247,C00121,2026-06-13,食品饮料,2,138.36,0,276.72,已取消
O000248,C00185,2025-08-08,家居日用,1,363.5,0.2,290.8,已支付
O000249,C00072,2026-04-21,数码电子,4,962.56,0.2,3080.19,已支付
O000250,C00231,2025-08-01,家居日用,1,408.72,0.1,367.85,已支付
O000251,C00455,2026-04-29,服饰鞋包,2,296.68,0.2,474.69,已取消
O000252,C00231,2026-06-07,数码电子,1,1031.31,0.1,928.18,已退款
O000253,C00052,2025-12-13,数码电子,1,1009.01,0.1,908.11,已取消
O000254,C00432,2025-08-19,数码电子,3,238.38,0.15,607.87,已支付
O000255,C00069,2026-04-26,家居日用,2,104.41,0,208.82,已支付
O000256,C00503,2026-03-21,服饰鞋包,4,637.11,0.2,2038.75,已支付
O000257,C00024,2026-06-21,服饰鞋包,1,518.77,0.05,492.83,已支付
O000258,C00090,2025-08-14,美妆个护,1,118.59,0,118.59,已退款
O000259,C00059,2026-04-02,家居日用,1,382.96,0.1,344.66,已支付
O000260,C00243,2025-09-17,家居日用,5,437.67,0.1,1969.51,已支付
O000261,C00195,2026-04-19,数码电子,1,132.72,0.08,122.1,已支付
O000262,C00469,2026-01-21,食品饮料,2,151.37,0.2,242.19,已取消
O000263,C00145,2025-08-03,食品饮料,2,149.93,0,299.86,已支付
O000264,C00378,2025-11-29,家居日用,1,380.24,0.1,342.22,已支付
O000265,C00359,2026-01-30,家居日用,1,445.62,0.2,356.5,已支付
O000266,C00379,2026-01-12,家居日用,1,438.68,0.1,394.81,已支付
O000267,C00460,2026-01-05,运动户外,1,175.8,0.15,149.43,已退款
O000268,C00043,2026-04-27,食品饮料,4,181.61,0,726.44,已支付
O000269,C00303,2025-08-04,数码电子,1,643.65,0.08,592.16,已支付
O000270,C00351,2025-08-10,运动户外,1,355.81,0.08,327.35,已支付
O000271,C00281,2026-02-07,食品饮料,1,189.33,0.05,179.86,已支付
O000272,C00002,2025-09-26,服饰鞋包,2,96.88,0.15,164.7,已取消
O000273,C00574,2025-10-06,数码电子,4,763.04,0.05,2899.55,已支付
O000274,C00200,2025-07-08,家居日用,1,75.84,0.1,68.26,已取消
O000275,C00017,2026-02-06,食品饮料,2,197.57,0.05,375.38,已取消
O000276,C00448,2026-04-21,运动户外,1,588.96,0,588.96,已支付
O000277,C00246,2026-01-02,家居日用,1,325.17,0.1,292.65,已支付
O000278,C00467,2026-05-21,运动户外,1,467.04,0.15,396.98,已取消
O000279,C00253,2026-06-02,家居日用,4,371.43,0.1,1337.15,已支付
O000280,C00010,2025-11-11,食品饮料,1,106.32,0.05,101.0,已退款
O000281,C00009,2025-12-17,运动户外,1,317.05,0.2,253.64,已支付
O000282,C00148,2026-06-02,食品饮料,2,95.48,0,190.96,已退款
O000283,C00425,2025-09-30,数码电子,1,535.91,0,535.91,已支付
O000284,C00299,2026-03-07,服饰鞋包,1,178.99,0.1,161.09,已支付
O000285,C00041,2025-12-04,家居日用,2,296.07,0.15,503.32,已支付
O000286,C00444,2025-07-29,美妆个护,2,95.66,0,191.32,已取消
O000287,C00418,2025-09-25,食品饮料,2,146.02,0.05,277.44,已支付
O000288,C00421,2025-08-10,运动户外,1,139.22,0.08,128.08,已支付
O000289,C00076,2025-07-17,运动户外,4,424.68,0.08,1562.82,已支付
O000290,C00129,2025-08-23,数码电子,1,369.17,0,369.17,已支付
O000291,C00367,2026-04-01,运动户外,1,455.79,0.2,364.63,已退款
O000292,C00314,2025-09-27,数码电子,4,422.43,0.1,1520.75,已支付
O000293,C00263,2025-12-25,运动户外,1,475.16,0.15,403.89,已支付
O000294,C00437,2025-10-15,数码电子,1,911.08,0,911.08,已支付
O000295,C00206,2025-08-08,家居日用,1,104.65,0.2,83.72,已退款
O000296,C00114,2026-01-11,家居日用,1,488.89,0,488.89,已支付
O000297,C00586,2025-12-29,家居日用,4,57.93,0.15,196.96,已支付
O000298,C00581,2025-08-17,服饰鞋包,1,500.28,0.05,475.27,已支付
O000299,C00220,2025-12-14,运动户外,1,206.88,0.2,165.5,已支付
O000300,C00112,2025-08-21,服饰鞋包,2,278.54,0,557.08,已支付
O000301,C00449,2026-01-28,服饰鞋包,1,695.44,0.1,625.9,已支付
O000302,C00103,2025-12-31,运动户外,4,59.07,0,236.28,已支付
O000303,C00125,2026-02-22,运动户外,4,257.49,0,1029.96,已退款
O000304,C00393,2025-11-15,运动户外,1,483.76,0,483.76,已支付
O000305,C00091,2026-01-19,运动户外,1,235.47,0.1,211.92,已支付
O000306,C00444,2026-01-17,数码电子,1,390.69,0.2,312.55,已支付
O000307,C00404,2025-09-19,数码电子,1,207.14,0.1,186.43,已退款
O000308,C00203,2025-07-31,服饰鞋包,2,602.06,0.2,963.3,已支付
O000309,C00301,2025-09-11,运动户外,1,370.0,0.05,351.5,已退款
O000310,C00553,2025-09-10,运动户外,2,592.83,0.1,1067.09,已支付
O000311,C00544,2025-09-05,食品饮料,3,37.34,0.1,100.82,已取消
O000312,C00266,2025-11-18,家居日用,1,459.8,0,459.8,已支付
O000313,C00425,2025-09-10,服饰鞋包,1,230.92,0.05,219.37,已支付
O000314,C00370,2025-11-27,家居日用,1,403.1,0.08,370.85,已退款
O000315,C00071,2025-07-30,食品饮料,2,109.52,0.2,175.23,已退款
O000316,C00339,2025-10-24,家居日用,1,72.91,0.1,65.62,已取消
O000317,C00387,2026-01-25,食品饮料,1,118.05,0.05,112.15,已支付
O000318,C00083,2026-05-05,运动户外,1,70.54,0.05,67.01,已支付
O000319,C00360,2026-03-30,数码电子,1,884.69,0.08,813.91,已退款
O000320,C00143,2025-08-06,运动户外,3,218.39,0,655.17,已支付
O000321,C00257,2025-12-07,数码电子,2,1096.74,0.2,1754.78,已退款
O000322,C00536,2026-05-08,服饰鞋包,2,144.95,0,289.9,已取消
O000323,C00309,2025-09-02,美妆个护,5,156.34,0.2,625.36,已退款
O000324,C00318,2025-11-14,食品饮料,2,77.74,0.15,132.16,已支付
O000325,C00423,2025-10-24,运动户外,3,393.85,0,1181.55,已支付
O000326,C00129,2025-11-24,家居日用,2,395.64,0,791.28,已支付
O000327,C00030,2025-10-06,运动户外,2,307.2,0.2,491.52,已支付
O000328,C00525,2026-04-13,运动户外,1,86.04,0.15,73.13,已支付
O000329,C00384,2026-03-02,食品饮料,1,146.34,0.05,139.02,已支付
O000330,C00566,2026-02-09,运动户外,2,122.04,0.2,195.26,已退款
O000331,C00406,2025-10-11,运动户外,2,507.3,0,1014.6,已支付
O000332,C00346,2026-02-10,家居日用,1,74.58,0,74.58,已支付
O000333,C00250,2026-05-26,数码电子,2,634.39,0.1,1141.9,已支付
O000334,C00453,2026-05-15,食品饮料,3,90.74,0,272.22,已支付
O000335,C00097,2025-11-24,家居日用,5,326.39,0,1631.95,已支付
O000336,C00452,2026-05-16,运动户外,2,467.78,0.05,888.78,已支付
O000337,C00485,2026-04-13,服饰鞋包,1,288.11,0.2,230.49,已取消
O000338,C00132,2025-12-09,家居日用,4,134.26,0.15,456.48,已退款
O000339,C00369,2026-03-17,食品饮料,1,49.22,0,49.22,已取消
O000340,C00548,2025-11-27,家居日用,1,469.2,0.08,431.66,已支付
O000341,C00485,2025-12-01,家居日用,1,207.6,0.08,190.99,已支付
O000342,C00563,2026-02-19,食品饮料,1,142.27,0,142.27,已退款
O000343,C00323,2025-11-30,美妆个护,3,90.49,0.08,249.75,已取消
O000344,C00571,2026-05-28,食品饮料,1,50.16,0.05,47.65,已支付
O000345,C00468,2025-11-27,家居日用,1,308.48,0,308.48,已支付
O000346,C00268,2025-09-17,家居日用,2,470.94,0.2,753.5,已退款
O000347,C00457,2026-04-22,家居日用,2,450.78,0,901.56,已支付
O000348,C00580,2026-01-11,美妆个护,1,156.91,0.08,144.36,已支付
O000349,C00371,2025-10-02,服饰鞋包,1,231.88,0.15,197.1,已支付
O000350,C00198,2025-09-02,美妆个护,2,171.6,0.08,315.74,已支付
O000351,C00426,2026-01-16,美妆个护,1,230.15,0.08,211.74,已支付
O000352,C00510,2025-11-18,运动户外,2,249.31,0.05,473.69,已支付
O000353,C00492,2025-12-17,数码电子,2,713.49,0,1426.98,已支付
O000354,C00496,2026-04-18,家居日用,1,463.75,0.05,440.56,已支付
O000355,C00112,2026-05-01,家居日用,1,419.0,0,419.0,已支付
O000356,C00566,2025-09-12,运动户外,1,312.41,0.1,281.17,已退款
O000357,C00499,2026-01-12,运动户外,2,476.64,0.15,810.29,已支付
O000358,C00415,2025-09-27,运动户外,2,300.45,0,600.9,已支付
O000359,C00257,2025-07-10,家居日用,1,477.93,0.08,439.7,已支付
O000360,C00200,2025-07-07,食品饮料,1,61.7,0.1,55.53,已支付
O000361,C00315,2026-05-13,运动户外,1,249.21,0.15,211.83,已支付
O000362,C00344,2025-12-28,运动户外,3,471.02,0.15,1201.1,已支付
O000363,C00468,2026-05-28,食品饮料,2,160.87,0.08,296.0,已支付
